Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Create Note,,,,25-08-2024 14:31:23,25-08-2024 14:31:29,5.624s,PASSED
,,,,,,,
Test Cases/TC_Create Note,,,,25-08-2024 14:31:23,25-08-2024 14:31:26,2.991s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 14:31:24,25-08-2024 14:31:24,0.153s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:24,25-08-2024 14:31:24,0.085s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:24,25-08-2024 14:31:24,0.044s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:24,25-08-2024 14:31:24,0.003s,PASSED
res = sendRequest(req),,,,25-08-2024 14:31:24,25-08-2024 14:31:26,1.683s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.038s,PASSED
"verifyElementPropertyValue(res, ""title"", title, CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.135s,PASSED
"verifyElementPropertyValue(res, ""content"", content, CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.047s,PASSED
"users = getElementPropertyValue(res, ""users"", CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.056s,PASSED
users = users.sort({ java.lang.Object user -> ... }),,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.012s,PASSED
userIdList =  }).sort(),,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.014s,PASSED
"for ([i = 0, i < userIdList.size(), (i++)])",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.030s,PASSED
,,,,,,,
Test Cases/TC_Create Note,,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.211s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.002s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.008s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.001s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.001s,PASSED
res = sendRequest(req),,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.039s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.003s,PASSED
"verifyElementPropertyValue(res, ""title"", title, CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.038s,PASSED
"verifyElementPropertyValue(res, ""content"", content, CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.041s,PASSED
"users = getElementPropertyValue(res, ""users"", CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.036s,PASSED
users = users.sort({ java.lang.Object user -> ... }),,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.001s,PASSED
userIdList =  }).sort(),,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.001s,PASSED
"for ([i = 0, i < userIdList.size(), (i++)])",,,,25-08-2024 14:31:26,25-08-2024 14:31:26,0.007s,PASSED
,,,,,,,
Test Cases/TC_Create Note,,,,25-08-2024 14:31:26,25-08-2024 14:31:27,0.207s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.000s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.007s,PASSED
