Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Update Profile,,,,25-08-2024 16:07:37,25-08-2024 16:07:54,16.852s,FAILED
,,,,,,,
Test Cases/TC_Update Profile,,,,25-08-2024 16:07:38,25-08-2024 16:07:40,2.700s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 16:07:38,25-08-2024 16:07:38,0.122s,PASSED
"req = findTestObject(""API_Update Profile"", [""userId"":myId, ""name"":name, ""phone"":phone, ""birthDate"":birthDate, ""personalEmail"":personalEmail, ""gender"":gender])",,,,25-08-2024 16:07:38,25-08-2024 16:07:38,0.121s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 16:07:38,25-08-2024 16:07:38,0.033s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 16:07:38,25-08-2024 16:07:38,0.003s,PASSED
res = sendRequest(req),,,,25-08-2024 16:07:38,25-08-2024 16:07:40,1.585s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.031s,PASSED
"if (personalEmail == """")",,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.003s,PASSED
"formattedBirthDate = birthDate + ""T00:00:00.000+00:00""",,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.002s,PASSED
"if (birthDate == """")",,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.003s,PASSED
if (expected.intValue() == 200),,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.274s,PASSED
,,,,,,,
Test Cases/TC_Update Profile,,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.113s,FAILED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.000s,PASSED
"req = findTestObject(""API_Update Profile"", [""userId"":myId, ""name"":name, ""phone"":phone, ""birthDate"":birthDate, ""personalEmail"":personalEmail, ""gender"":gender])",,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.005s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.000s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.001s,PASSED
res = sendRequest(req),,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.041s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.026s,FAILED
"if (personalEmail == """")",,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.002s,PASSED
"formattedBirthDate = birthDate + ""T00:00:00.000+00:00""",,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.000s,PASSED
"if (birthDate == """")",,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.001s,PASSED
if (expected.intValue() == 200),,,,25-08-2024 16:07:40,25-08-2024 16:07:40,0.002s,PASSED
,,,,,,,
Test Cases/TC_Update Profile,,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.066s,FAILED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.001s,PASSED
"req = findTestObject(""API_Update Profile"", [""userId"":myId, ""name"":name, ""phone"":phone, ""birthDate"":birthDate, ""personalEmail"":personalEmail, ""gender"":gender])",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.006s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.000s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.000s,PASSED
res = sendRequest(req),,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.020s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.003s,FAILED
"if (personalEmail == """")",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.002s,PASSED
"formattedBirthDate = birthDate + ""T00:00:00.000+00:00""",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.001s,PASSED
"if (birthDate == """")",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.001s,PASSED
if (expected.intValue() == 200),,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.000s,PASSED
,,,,,,,
Test Cases/TC_Update Profile,,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.068s,FAILED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.000s,PASSED
"req = findTestObject(""API_Update Profile"", [""userId"":myId, ""name"":name, ""phone"":phone, ""birthDate"":birthDate, ""personalEmail"":personalEmail, ""gender"":gender])",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.006s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.003s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.001s,PASSED
res = sendRequest(req),,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.025s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.002s,FAILED
"if (personalEmail == """")",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.000s,PASSED
"formattedBirthDate = birthDate + ""T00:00:00.000+00:00""",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.002s,PASSED
"if (birthDate == """")",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.000s,PASSED
if (expected.intValue() == 200),,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.001s,PASSED
,,,,,,,
Test Cases/TC_Update Profile,,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.067s,FAILED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 16:07:41,25-08-2024 16:07:41,0.000s,PASSED
